cod_ibge,municipio,uf,caminho
5209937,Inaciolândia,GO,GO/ATM_5209937_Inaciolandia_GO.pdf
5209952,Indiara,GO,GO/ATM_5209952_Indiara_GO.pdf
5210000,Inhumas,GO,GO/ATM_5210000_Inhumas_GO.pdf
5210109,Ipameri,GO,GO/ATM_5210109_Ipameri_GO.pdf
5210158,Ipiranga de Goiás,GO,GO/ATM_5210158_Ipiranga_de_Goias_GO.pdf
5210208,Iporá,GO,GO/ATM_5210208_Ipora_GO.pdf
5210307,Israelândia,GO,GO/ATM_5210307_Israelandia_GO.pdf
5210406,Itaberaí,GO,GO/ATM_5210406_Itaberai_GO.pdf
5210562,Itaguari,GO,GO/ATM_5210562_Itaguari_GO.pdf
5210604,Itaguaru,GO,GO/ATM_5210604_Itaguaru_GO.pdf
5210802,Itajá,GO,GO/ATM_5210802_Itaja_GO.pdf
5210901,Itapaci,GO,GO/ATM_5210901_Itapaci_GO.pdf
5211008,Itapirapuã,GO,GO/ATM_5211008_Itapirapua_GO.pdf
5211206,Itapuranga,GO,GO/ATM_5211206_Itapuranga_GO.pdf
5211305,Itarumã,GO,GO/ATM_5211305_Itaruma_GO.pdf
5211404,Itauçu,GO,GO/ATM_5211404_Itaucu_GO.pdf
5211503,Itumbiara,GO,GO/ATM_5211503_Itumbiara_GO.pdf
5211602,Ivolândia,GO,GO/ATM_5211602_Ivolandia_GO.pdf
5211701,Jandaia,GO,GO/ATM_5211701_Jandaia_GO.pdf
5211800,Jaraguá,GO,GO/ATM_5211800_Jaragua_GO.pdf
5211909,Jataí,GO,GO/ATM_5211909_Jatai_GO.pdf
5212006,Jaupaci,GO,GO/ATM_5212006_Jaupaci_GO.pdf
5212055,Jesúpolis,GO,GO/ATM_5212055_Jesupolis_GO.pdf
5212105,Joviânia,GO,GO/ATM_5212105_Joviania_GO.pdf
5212204,Jussara,GO,GO/ATM_5212204_Jussara_GO.pdf
5212253,Lagoa Santa,GO,GO/ATM_5212253_Lagoa_Santa_GO.pdf
5212303,Leopoldo de Bulhões,GO,GO/ATM_5212303_Leopoldo_de_Bulhoes_GO.pdf
5212501,Luziânia,GO,GO/ATM_5212501_Luziania_GO.pdf
5212600,Mairipotaba,GO,GO/ATM_5212600_Mairipotaba_GO.pdf
5212709,Mambaí,GO,GO/ATM_5212709_Mambai_GO.pdf
5212808,Mara Rosa,GO,GO/ATM_5212808_Mara_Rosa_GO.pdf
5212907,Marzagão,GO,GO/ATM_5212907_Marzagao_GO.pdf
